hazard,Aspect,HumanImpactIndexMean,LandCover,NDMI,NDVI,Precipitation,Slope,SoilMoist,TempMax,TempMin,WaterDeficit,WindSpeed,idx
0,114.09745,12.4,16,-0.09885911,0.13910757,1,1.2066349,0,330.3333333,169.1666667,2103.5,388.3333333,6
0,230.81117,23.95,16,-0.090261,0.11726019,0,0.64214957,0,343,179.25,2222,459.5,7
0,29.84342,88.95,16,-0.055450853,0.10443471,0,0.066830665,0,342,172.25,2266.25,420,8
0,192.26546,15.95,16,-0.09102833,0.12483102,1,1.0973281,0,336.5,175.75,2249,412,9
0,326.1276,516.4,16,-0.06549627,0.08612282,1,0.41889796,0,254.5,135,1436,318,0
0,29.84342,790.7,16,-0.13347161,0.10548705,0,0.4678045,0,255,133,1438.5,328.3333333,1
0,67.954185,696.2,16,-0.06205351,0.08663444,1,2.1611145,0,264.5,129,1536,356,2
0,304.50375,603.45,16,-0.033380486,0.0878294,0,0.5628193,0,280.5,146,1679.5,332.5,3
0,244.96603,82.95,16,-0.110910706,0.121871606,1,1.5065453,0,265.5,145.5,1560,331,4
0,111.9067,81.2,16,-0.11777648,0.10529538,0,0.46610144,0,293,145,1626.5,309.5,5
0,335.27176,198.3,16,-0.054021988,0.10743757,1,0.31909862,0,274.5,156.5,1556,315,6
0,272.38245,853.95,16,-0.07080834,0.09470051,0,0.69720995,1,282.5,164.5,1626,336,7
0,319.2585,858.5,16,-0.10684308,0.12291808,1,0.30603433,0,278.5,140,1641,350,8
0,63.90665,640.95,16,-0.0736667,0.13162565,1,1.5152928,0,257.5,115,1464.25,310,9
0,199.2269,31.2,16,-0.062123653,0.092228696,0,0.09208874,0,387,223,2225,330,0
0,122.55806,25.05,16,-0.06692175,0.09799961,0,0.10771659,0,379,218,2160.5,322.5,1
0,266.37054,20.9,16,-0.09638136,0.10781092,0,0.4578487,0,386.5,218.5,2292.333333,336.7142857,2
0,61.40782,14.5,16,-0.076293215,0.1165463,0,0.24225335,0,384,215,2231.5,330.4285714,3
0,115.581154,17.1,16,-0.07168675,0.100346856,0,0.06712554,0,379,217.5,2168,324,4
0,133.7313,25.25,16,-0.09693947,0.09867776,0,0.08385659,0,385,223,2219.166667,329.5,5
0,152.40181,25.2,16,-0.0940766,0.10044833,0,0.0654107,0,385,222.5,2218.333333,329.0454545,6
0,218.28816,5.25,16,-0.09782786,0.10257397,0,0.1477073,0,382,209.5,2312.5,344,7
0,129.99261,31.05,16,-0.06485745,0.09665652,0,0.31568402,0,385.5,228,2077.583333,300.3333333,8
0,145.06697,16,16,-0.0820568,0.10437367,0,0.10606227,0,385.5,218,2281.5,335.1666667,9
0,73.26105,20.45,16,-0.0499507,0.10381125,0,0.10063504,0,326,167,1986,340.2,0
0,140.26947,92.2,16,-0.08230432,0.11838156,0,0.15075058,0,325,161.5,1976.25,340.1428571,1
0,308.28543,21.85,16,-0.03748579,0.07845232,0,1.3563743,0,328.5,165.5,1993.666667,350,2
0,0,96.55,16,-0.08189103,0.11596195,0,0.057968166,0,326,169,1979,338.5,3
0,37.813396,20.45,16,-0.047061518,0.092356056,0,0.3668768,0,330,169,2004.666667,340,4
0,185.79865,20.55,16,-0.06486494,0.10092968,0,0.32046145,0,317,151,1926.833333,359.6,5
0,90,738.2,16,-0.12237918,0.12732926,0,0.06497729,0,323.5,158.5,1916,350.125,6
0,65.96506,206.65,16,-0.11222052,0.12552331,0,0.14232497,0,322.5,157.5,1900,350.25,7
0,110.75448,19.85,16,-0.06695668,0.11389701,0,0.4089522,0,333,172,2007,337.5,8
0,117.764084,20.35,16,-0.07576254,0.11656208,0,0.43553197,0,325.5,167.5,1974.666667,340,9
0,90,1.75,16,-0.04684926,0.11312524,0,0.06115327,0,389,234.5,2045.5,304.75,0
0,180,18.1,16,-0.052422747,0.12142003,2,0.057968166,0,378,234,1738.666667,277.5,1
